Board_ID, Scramble_Number, Algorithm, Heuristic, Moves, Nodes_Expanded, Computation_Time(us)
1,10,RBFS,Manhattan Distance,6,7,41
2,10,RBFS,MD + Linear Conflict Correction,2,3,6
3,10,RBFS,Inversion Distance,2,3,13
4,10,RBFS,Manhattan Distance,6,7,14
5,10,RBFS,MD + Linear Conflict Correction,6,13,28
6,10,RBFS,Inversion Distance,6,7,27
7,10,RBFS,Manhattan Distance,8,9,18
8,10,RBFS,MD + Linear Conflict Correction,8,12,23
9,10,RBFS,Inversion Distance,6,7,24
10,10,RBFS,Manhattan Distance,4,5,9
11,10,RBFS,MD + Linear Conflict Correction,6,7,12
12,10,RBFS,Inversion Distance,2,3,10
13,10,RBFS,Manhattan Distance,6,7,11
14,10,RBFS,MD + Linear Conflict Correction,6,7,13
15,10,RBFS,Inversion Distance,4,5,17
16,10,RBFS,Manhattan Distance,2,3,4
17,10,RBFS,MD + Linear Conflict Correction,6,7,11
18,10,RBFS,Inversion Distance,8,9,31
19,10,RBFS,Manhattan Distance,2,3,4
20,10,RBFS,MD + Linear Conflict Correction,4,8,15
21,10,RBFS,Inversion Distance,4,5,17
22,10,RBFS,Manhattan Distance,4,5,8
23,10,RBFS,MD + Linear Conflict Correction,4,7,11
24,10,RBFS,Inversion Distance,2,3,9
25,10,RBFS,Manhattan Distance,6,7,12
26,10,RBFS,MD + Linear Conflict Correction,2,3,4
27,10,RBFS,Inversion Distance,6,7,28
28,10,RBFS,Manhattan Distance,2,3,3
29,10,RBFS,MD + Linear Conflict Correction,6,7,12
30,10,RBFS,Inversion Distance,8,9,29
31,10,RBFS,Manhattan Distance,10,11,19
32,10,RBFS,MD + Linear Conflict Correction,2,3,4
33,10,RBFS,Inversion Distance,2,3,10
34,10,RBFS,Manhattan Distance,6,7,11
35,10,RBFS,MD + Linear Conflict Correction,8,20,36
36,10,RBFS,Inversion Distance,6,7,22
37,10,RBFS,Manhattan Distance,4,5,8
38,10,RBFS,MD + Linear Conflict Correction,0,1,1
39,10,RBFS,Inversion Distance,2,3,8
40,10,RBFS,Manhattan Distance,4,5,8
41,10,RBFS,MD + Linear Conflict Correction,4,5,7
42,10,RBFS,Inversion Distance,2,3,10
43,10,RBFS,Manhattan Distance,6,7,9
44,10,RBFS,MD + Linear Conflict Correction,8,9,17
45,10,RBFS,Inversion Distance,4,5,16
46,10,RBFS,Manhattan Distance,2,3,4
47,10,RBFS,MD + Linear Conflict Correction,10,13,265
48,10,RBFS,Inversion Distance,6,7,30
49,10,RBFS,Manhattan Distance,2,3,4
50,10,RBFS,MD + Linear Conflict Correction,2,3,4
51,10,RBFS,Inversion Distance,2,3,10
52,10,RBFS,Manhattan Distance,4,5,9
53,10,RBFS,MD + Linear Conflict Correction,4,5,10
54,10,RBFS,Inversion Distance,2,3,8
55,10,RBFS,Manhattan Distance,0,1,1
56,10,RBFS,MD + Linear Conflict Correction,4,5,9
57,10,RBFS,Inversion Distance,8,9,33
58,10,RBFS,Manhattan Distance,6,7,12
59,10,RBFS,MD + Linear Conflict Correction,4,5,7
60,10,RBFS,Inversion Distance,2,3,10
61,10,RBFS,Manhattan Distance,4,5,8
62,10,RBFS,MD + Linear Conflict Correction,2,3,4
63,10,RBFS,Inversion Distance,6,7,25
64,10,RBFS,Manhattan Distance,4,5,8
65,10,RBFS,MD + Linear Conflict Correction,4,5,9
66,10,RBFS,Inversion Distance,6,7,49
67,10,RBFS,Manhattan Distance,8,9,16
68,10,RBFS,MD + Linear Conflict Correction,8,10,17
69,10,RBFS,Inversion Distance,6,7,26
70,10,RBFS,Manhattan Distance,4,5,7
71,10,RBFS,MD + Linear Conflict Correction,2,3,5
72,10,RBFS,Inversion Distance,6,7,25
73,10,RBFS,Manhattan Distance,4,5,8
74,10,RBFS,MD + Linear Conflict Correction,6,7,13
75,10,RBFS,Inversion Distance,2,3,10
76,10,RBFS,Manhattan Distance,2,3,4
77,10,RBFS,MD + Linear Conflict Correction,8,20,38
78,10,RBFS,Inversion Distance,8,9,29
79,10,RBFS,Manhattan Distance,6,7,11
80,10,RBFS,MD + Linear Conflict Correction,6,7,12
81,10,RBFS,Inversion Distance,6,7,27
82,10,RBFS,Manhattan Distance,4,5,7
83,10,RBFS,MD + Linear Conflict Correction,4,5,9
84,10,RBFS,Inversion Distance,6,7,23
85,10,RBFS,Manhattan Distance,4,5,8
86,10,RBFS,MD + Linear Conflict Correction,6,11,19
87,10,RBFS,Inversion Distance,2,3,10
88,10,RBFS,Manhattan Distance,6,9,13
89,10,RBFS,MD + Linear Conflict Correction,2,3,4
90,10,RBFS,Inversion Distance,4,5,16
91,10,RBFS,Manhattan Distance,8,9,16
92,10,RBFS,MD + Linear Conflict Correction,2,3,5
93,10,RBFS,Inversion Distance,6,7,26
94,10,RBFS,Manhattan Distance,2,3,4
95,10,RBFS,MD + Linear Conflict Correction,2,3,4
96,10,RBFS,Inversion Distance,4,5,17
97,10,RBFS,Manhattan Distance,4,5,23
98,10,RBFS,MD + Linear Conflict Correction,4,5,8
99,10,RBFS,Inversion Distance,0,1,2
100,10,RBFS,Manhattan Distance,2,3,3
101,10,RBFS,MD + Linear Conflict Correction,4,5,6
102,10,RBFS,Inversion Distance,4,5,15
103,10,RBFS,Manhattan Distance,6,7,8
104,10,RBFS,MD + Linear Conflict Correction,4,9,15
105,10,RBFS,Inversion Distance,6,7,21
106,10,RBFS,Manhattan Distance,6,7,20
107,10,RBFS,MD + Linear Conflict Correction,4,5,8
108,10,RBFS,Inversion Distance,6,7,24
109,10,RBFS,Manhattan Distance,6,7,8
110,10,RBFS,MD + Linear Conflict Correction,4,5,6
111,10,RBFS,Inversion Distance,4,5,15
112,10,RBFS,Manhattan Distance,2,3,3
113,10,RBFS,MD + Linear Conflict Correction,4,5,6
114,10,RBFS,Inversion Distance,6,7,24
115,10,RBFS,Manhattan Distance,6,7,9
116,10,RBFS,MD + Linear Conflict Correction,8,17,26
117,10,RBFS,Inversion Distance,6,7,24
118,10,RBFS,Manhattan Distance,2,3,3
119,10,RBFS,MD + Linear Conflict Correction,2,3,3
120,10,RBFS,Inversion Distance,2,3,9
121,10,RBFS,Manhattan Distance,4,5,7
