Board_ID, Scramble_Number, Algorithm, Heuristic, Moves, Nodes_Expanded, Computation_Time(us)
1,10,RBFS,Manhattan Distance,4,5,43
2,10,RBFS,MD + Linear Conflict Correction,4,5,12
3,10,RBFS,Inversion Distance,4,5,21
4,10,RBFS,Manhattan Distance,6,7,21
5,10,RBFS,MD + Linear Conflict Correction,6,8,15
6,10,RBFS,Inversion Distance,4,5,17
7,10,RBFS,Manhattan Distance,8,13,25
8,10,RBFS,MD + Linear Conflict Correction,8,19,33
9,10,RBFS,Inversion Distance,8,9,47
10,10,RBFS,Manhattan Distance,6,7,12
11,10,RBFS,MD + Linear Conflict Correction,6,11,20
12,10,RBFS,Inversion Distance,6,7,23
13,10,RBFS,Manhattan Distance,2,3,4
14,10,RBFS,MD + Linear Conflict Correction,8,20,33
15,10,RBFS,Inversion Distance,4,5,16
16,10,RBFS,Manhattan Distance,2,3,4
17,10,RBFS,MD + Linear Conflict Correction,8,9,17
18,10,RBFS,Inversion Distance,6,7,25
19,10,RBFS,Manhattan Distance,6,7,11
20,10,RBFS,MD + Linear Conflict Correction,8,9,21
21,10,RBFS,Inversion Distance,4,5,14
22,10,RBFS,Manhattan Distance,6,7,11
23,10,RBFS,MD + Linear Conflict Correction,6,7,16
24,10,RBFS,Inversion Distance,10,11,35
25,10,RBFS,Manhattan Distance,8,9,15
26,10,RBFS,MD + Linear Conflict Correction,4,5,7
27,10,RBFS,Inversion Distance,0,1,1
28,10,RBFS,Manhattan Distance,6,7,11
29,10,RBFS,MD + Linear Conflict Correction,4,5,8
30,10,RBFS,Inversion Distance,6,9,27
31,10,RBFS,Manhattan Distance,2,3,5
32,10,RBFS,MD + Linear Conflict Correction,4,5,7
33,10,RBFS,Inversion Distance,4,5,17
34,10,RBFS,Manhattan Distance,6,7,9
35,10,RBFS,MD + Linear Conflict Correction,6,7,11
36,10,RBFS,Inversion Distance,6,7,22
37,10,RBFS,Manhattan Distance,4,5,8
38,10,RBFS,MD + Linear Conflict Correction,6,7,11
39,10,RBFS,Inversion Distance,6,7,25
40,10,RBFS,Manhattan Distance,2,3,4
41,10,RBFS,MD + Linear Conflict Correction,6,7,11
42,10,RBFS,Inversion Distance,6,7,25
43,10,RBFS,Manhattan Distance,8,9,14
44,10,RBFS,MD + Linear Conflict Correction,6,7,10
45,10,RBFS,Inversion Distance,6,7,24
46,10,RBFS,Manhattan Distance,4,5,8
47,10,RBFS,MD + Linear Conflict Correction,6,7,12
48,10,RBFS,Inversion Distance,4,5,17
49,10,RBFS,Manhattan Distance,6,7,11
50,10,RBFS,MD + Linear Conflict Correction,2,3,4
51,10,RBFS,Inversion Distance,8,9,31
52,10,RBFS,Manhattan Distance,8,9,14
53,10,RBFS,MD + Linear Conflict Correction,6,12,21
54,10,RBFS,Inversion Distance,8,9,32
55,10,RBFS,Manhattan Distance,10,14,29
