Board_ID, Scramble_Number, Algorithm, Heuristic, Moves, Nodes_Expanded, Computation_Time(us)
1,10,RBFS,Manhattan Distance,0,1,10
2,10,RBFS,MD + Linear Conflict Correction,6,7,17
3,10,RBFS,Inversion Distance,6,7,30
4,10,RBFS,Manhattan Distance,4,5,15
5,10,RBFS,MD + Linear Conflict Correction,4,9,18
6,10,RBFS,Inversion Distance,4,5,20
7,10,RBFS,Manhattan Distance,4,5,8
8,10,RBFS,MD + Linear Conflict Correction,2,3,5
9,10,RBFS,Inversion Distance,0,1,1
10,10,RBFS,Manhattan Distance,6,7,12
11,10,RBFS,MD + Linear Conflict Correction,4,5,8
12,10,RBFS,Inversion Distance,6,7,33
13,10,RBFS,Manhattan Distance,4,5,8
14,10,RBFS,MD + Linear Conflict Correction,4,5,9
15,10,RBFS,Inversion Distance,10,11,43
16,10,RBFS,Manhattan Distance,4,5,6
17,10,RBFS,MD + Linear Conflict Correction,8,9,16
18,10,RBFS,Inversion Distance,6,7,22
19,10,RBFS,Manhattan Distance,6,7,11
20,10,RBFS,MD + Linear Conflict Correction,8,15,26
21,10,RBFS,Inversion Distance,6,7,22
22,10,RBFS,Manhattan Distance,2,3,4
23,10,RBFS,MD + Linear Conflict Correction,4,5,8
24,10,RBFS,Inversion Distance,4,5,17
25,10,RBFS,Manhattan Distance,4,5,6
26,10,RBFS,MD + Linear Conflict Correction,2,3,4
27,10,RBFS,Inversion Distance,6,7,22
28,10,RBFS,Manhattan Distance,2,3,3
29,10,RBFS,MD + Linear Conflict Correction,10,22,35
30,10,RBFS,Inversion Distance,10,11,39
31,10,RBFS,Manhattan Distance,6,7,12
32,10,RBFS,MD + Linear Conflict Correction,6,9,15
33,10,RBFS,Inversion Distance,6,7,23
34,10,RBFS,Manhattan Distance,8,13,23
35,10,RBFS,MD + Linear Conflict Correction,8,15,36
36,10,RBFS,Inversion Distance,4,5,18
37,10,RBFS,Manhattan Distance,4,5,17
38,10,RBFS,MD + Linear Conflict Correction,4,5,6
39,10,RBFS,Inversion Distance,0,1,1
40,10,RBFS,Manhattan Distance,6,7,10
41,10,RBFS,MD + Linear Conflict Correction,10,12,20
42,10,RBFS,Inversion Distance,2,3,8
43,10,RBFS,Manhattan Distance,6,7,12
44,10,RBFS,MD + Linear Conflict Correction,8,9,15
45,10,RBFS,Inversion Distance,8,9,33
46,10,RBFS,Manhattan Distance,6,7,11
47,10,RBFS,MD + Linear Conflict Correction,6,8,13
48,10,RBFS,Inversion Distance,2,3,10
49,10,RBFS,Manhattan Distance,8,11,19
50,10,RBFS,MD + Linear Conflict Correction,6,9,15
51,10,RBFS,Inversion Distance,4,5,17
52,10,RBFS,Manhattan Distance,4,5,6
53,10,RBFS,MD + Linear Conflict Correction,6,7,10
54,10,RBFS,Inversion Distance,8,9,31
55,10,RBFS,Manhattan Distance,8,9,16
56,10,RBFS,MD + Linear Conflict Correction,4,8,14
57,10,RBFS,Inversion Distance,6,7,22
58,10,RBFS,Manhattan Distance,4,5,6
59,10,RBFS,MD + Linear Conflict Correction,0,1,1
60,10,RBFS,Inversion Distance,2,3,9
61,10,RBFS,Manhattan Distance,2,3,3
62,10,RBFS,MD + Linear Conflict Correction,6,7,11
63,10,RBFS,Inversion Distance,6,7,23
64,10,RBFS,Manhattan Distance,4,5,8
65,10,RBFS,MD + Linear Conflict Correction,4,8,14
66,10,RBFS,Inversion Distance,2,3,10
67,10,RBFS,Manhattan Distance,10,11,17
68,10,RBFS,MD + Linear Conflict Correction,4,9,15
69,10,RBFS,Inversion Distance,6,7,33
70,10,RBFS,Manhattan Distance,2,3,4
71,10,RBFS,MD + Linear Conflict Correction,8,9,17
72,10,RBFS,Inversion Distance,4,5,16
73,10,RBFS,Manhattan Distance,2,3,3
74,10,RBFS,MD + Linear Conflict Correction,2,3,4
75,10,RBFS,Inversion Distance,2,3,8
76,10,RBFS,Manhattan Distance,4,5,8
77,10,RBFS,MD + Linear Conflict Correction,8,11,18
78,10,RBFS,Inversion Distance,6,7,24
79,10,RBFS,Manhattan Distance,6,7,10
80,10,RBFS,MD + Linear Conflict Correction,4,9,16
81,10,RBFS,Inversion Distance,2,3,8
82,10,RBFS,Manhattan Distance,4,5,7
83,10,RBFS,MD + Linear Conflict Correction,2,3,4
84,10,RBFS,Inversion Distance,6,7,25
85,10,RBFS,Manhattan Distance,4,5,7
86,10,RBFS,MD + Linear Conflict Correction,4,5,9
87,10,RBFS,Inversion Distance,6,7,24
88,10,RBFS,Manhattan Distance,4,5,8
89,10,RBFS,MD + Linear Conflict Correction,4,5,9
90,10,RBFS,Inversion Distance,8,9,33
91,10,RBFS,Manhattan Distance,6,7,11
92,10,RBFS,MD + Linear Conflict Correction,2,3,5
93,10,RBFS,Inversion Distance,8,9,31
94,10,RBFS,Manhattan Distance,4,5,7
95,10,RBFS,MD + Linear Conflict Correction,4,5,8
96,10,RBFS,Inversion Distance,8,11,39
97,10,RBFS,Manhattan Distance,2,3,4
98,10,RBFS,MD + Linear Conflict Correction,4,5,8
99,10,RBFS,Inversion Distance,8,9,31
100,10,RBFS,Manhattan Distance,6,7,9
101,10,RBFS,MD + Linear Conflict Correction,8,9,15
102,10,RBFS,Inversion Distance,2,3,8
103,10,RBFS,Manhattan Distance,4,5,5
104,10,RBFS,MD + Linear Conflict Correction,8,9,15
105,10,RBFS,Inversion Distance,10,13,41
106,10,RBFS,Manhattan Distance,2,3,4
107,10,RBFS,MD + Linear Conflict Correction,2,3,4
108,10,RBFS,Inversion Distance,4,5,13
109,10,RBFS,Manhattan Distance,4,5,7
110,10,RBFS,MD + Linear Conflict Correction,4,5,8
111,10,RBFS,Inversion Distance,4,5,17
112,10,RBFS,Manhattan Distance,6,7,9
113,10,RBFS,MD + Linear Conflict Correction,4,7,11
114,10,RBFS,Inversion Distance,6,7,28
115,10,RBFS,Manhattan Distance,4,5,7
116,10,RBFS,MD + Linear Conflict Correction,8,9,22
117,10,RBFS,Inversion Distance,2,3,12
118,10,RBFS,Manhattan Distance,2,3,4
119,10,RBFS,MD + Linear Conflict Correction,4,5,8
120,10,RBFS,Inversion Distance,2,3,8
121,10,RBFS,Manhattan Distance,2,3,3
122,10,RBFS,MD + Linear Conflict Correction,8,13,22
123,10,RBFS,Inversion Distance,6,7,36
124,10,RBFS,Manhattan Distance,6,7,11
125,10,RBFS,MD + Linear Conflict Correction,4,5,6
126,10,RBFS,Inversion Distance,8,9,30
127,10,RBFS,Manhattan Distance,8,9,12
128,10,RBFS,MD + Linear Conflict Correction,0,1,1
129,10,RBFS,Inversion Distance,4,5,16
130,10,RBFS,Manhattan Distance,4,5,5
131,10,RBFS,MD + Linear Conflict Correction,4,7,9
132,10,RBFS,Inversion Distance,4,5,14
133,10,RBFS,Manhattan Distance,6,7,8
134,10,RBFS,MD + Linear Conflict Correction,8,13,18
135,10,RBFS,Inversion Distance,2,3,9
136,10,RBFS,Manhattan Distance,8,9,11
137,10,RBFS,MD + Linear Conflict Correction,8,9,11
138,10,RBFS,Inversion Distance,4,5,14
139,10,RBFS,Manhattan Distance,6,7,8
140,10,RBFS,MD + Linear Conflict Correction,2,3,3
141,10,RBFS,Inversion Distance,2,3,8
142,10,RBFS,Manhattan Distance,6,7,8
143,10,RBFS,MD + Linear Conflict Correction,6,7,10
144,10,RBFS,Inversion Distance,6,7,21
145,10,RBFS,Manhattan Distance,4,5,6
146,10,RBFS,MD + Linear Conflict Correction,6,7,9
147,10,RBFS,Inversion Distance,6,7,20
148,10,RBFS,Manhattan Distance,6,7,8
149,10,RBFS,MD + Linear Conflict Correction,6,7,7
150,10,RBFS,Inversion Distance,8,9,28
151,10,RBFS,Manhattan Distance,4,5,5
152,10,RBFS,MD + Linear Conflict Correction,2,3,3
153,10,RBFS,Inversion Distance,6,7,19
154,10,RBFS,Manhattan Distance,4,5,5
155,10,RBFS,MD + Linear Conflict Correction,4,5,6
156,10,RBFS,Inversion Distance,2,3,8
157,10,RBFS,Manhattan Distance,10,15,19
158,10,RBFS,MD + Linear Conflict Correction,6,7,9
159,10,RBFS,Inversion Distance,2,3,8
160,10,RBFS,Manhattan Distance,4,5,6
161,10,RBFS,MD + Linear Conflict Correction,0,1,1
162,10,RBFS,Inversion Distance,2,3,9
163,10,RBFS,Manhattan Distance,6,7,9
164,10,RBFS,MD + Linear Conflict Correction,4,5,6
165,10,RBFS,Inversion Distance,4,5,16
166,10,RBFS,Manhattan Distance,2,3,2
167,10,RBFS,MD + Linear Conflict Correction,6,7,8
168,10,RBFS,Inversion Distance,6,7,20
169,10,RBFS,Manhattan Distance,4,5,5
170,10,RBFS,MD + Linear Conflict Correction,6,9,11
171,10,RBFS,Inversion Distance,0,1,1
172,10,RBFS,Manhattan Distance,2,3,3
173,10,RBFS,MD + Linear Conflict Correction,4,5,5
174,10,RBFS,Inversion Distance,8,9,28
175,10,RBFS,Manhattan Distance,6,7,8
176,10,RBFS,MD + Linear Conflict Correction,2,3,4
177,10,RBFS,Inversion Distance,8,9,25
178,10,RBFS,Manhattan Distance,2,3,3
179,10,RBFS,MD + Linear Conflict Correction,2,3,3
180,10,RBFS,Inversion Distance,4,5,24
181,10,RBFS,Manhattan Distance,4,5,8
182,10,RBFS,MD + Linear Conflict Correction,4,5,7
183,10,RBFS,Inversion Distance,6,7,20
184,10,RBFS,Manhattan Distance,6,7,8
185,10,RBFS,MD + Linear Conflict Correction,6,8,10
186,10,RBFS,Inversion Distance,4,5,15
187,10,RBFS,Manhattan Distance,6,7,9
188,10,RBFS,MD + Linear Conflict Correction,2,3,3
189,10,RBFS,Inversion Distance,6,7,20
190,10,RBFS,Manhattan Distance,2,3,2
